Razão_Social;geom;Data_de_Ativação
AUTO POSTO E SERVIÇO BAM BAM LTDA;-43.25093,-22.842439999999993;
POSTO METANO LTDA;-44.09246000000002,-22.51142000000002;
POSTO QUALIDADE LIMITADA;-44.19242,-22.53647000000001;
POSTO EXPRESS LTDA;-43.35636999999999,-22.86516000000001;
MACICO POSTO DE SERVICOS LTDA;-43.590219999999995,-22.98511000000001;
POSTO DE GASOLINA BELART DE OLIVEIRA LTDA;-43.29812999999999,-22.903160000000003;
POSTO FLAMBOYANT DE CAMPOS LTDA;-41.307730000000014,-21.766890000000014;
REDE ENERGIA LTDA;-41.303839999999994,-21.76152000000001;
MELO E AIEX COMBUSTÍVEIS LTDA;-41.332260000000005,-21.76471000000002;
POSTO BELVEDERE DA BARRA LTDA;-43.83907000000001,-22.456030000000016;
E J MOTA CONSTRUTORA;-41.34204999999999,-21.749390000000012;
POSTO E SERVIÇOS DIMANCHES LTDA;-43.37559000000002,-22.953100000000003;
CENTRO DE CONVENIENCIAS MILLENNIUM LTDA;-43.26242999999999,-22.91690000000002;
POSTO GRANDE OESTE LTDA;-43.55037000000001,-22.86564;
POSTO DE GASOLINA LIQUINHO DA PRIMAVERA LTDA;-43.259339999999995,-22.68665;
POSTOS COLORADO LTDA;-43.825289999999995,-22.462069999999994;
R. B. DE CARVALHO & CARVALHO LTDA-ME;-41.31585999999999,-21.724810000000012;
AUTO POSTO DO TRABALHO III LTDA;-43.356930000000006,-22.80581000000002;
AUTO POSTO TREVO DA BARRA LTDA;-43.54052000000001,-23.012150000000013;
POSTO NOVA VIDA 2001 LTDA.;-42.96894999999999,-22.824810000000017;
PEREIRA & ROSÁRIO COMBUSTÍVEIS  LTDA;-41.29499000000001,-21.821290000000005;
AUTO POSTO AUSTRAL DE GNV LTDA;-43.462129999999995,-22.739300000000014;
SENAC-SERVIÇO NACIONAL DE APRENDIZAGEM COMERCIAL;-43.24810999999998,-22.857340000000008;
C.R. FRANCO ZUCOLOTO;-41.34596,-21.753499999999992;
POSTO ILHA COMÉRCIO DE COMBUSTÍVEIS LTDA.;-41.33643000000001,-21.748800000000006;
POSTO DE SERVIÇOS COSMOS RIO LTDA;-43.61687,-22.915190000000013;
AUTO POSTO CEDRO DO LÍBANO LTDA;-43.55095000000001,-22.902540000000005;
POSTO VIA PONTE LTDA;-43.114700000000006,-22.88763000000002;
POSTO ALPHA W COMERCIO DE COMBUSTIVEIS LTDA - EPP;-41.31315000000002,-21.781370000000006;
POSTO DANIT LTDA;-43.25762000000001,-22.846190000000004;
AUTO POSTO BRASIL 500 LTDA;-42.83572000000001,-22.739140000000006;
PAXA AUTO POSTO LTDA;-43.29173999999999,-22.832429999999995;
POSTO DE GASOLINA DINNEI LTDA;-43.41515999999999,-22.74255000000002;
POSTO DE GASOLINA NATALINE LTDA;-43.41152999999999,-22.817570000000014;
POSTO CIDADE MANGARATIBA LTDA;-44.04171999999999,-22.960800000000017;
AUTO POSTO DE SERVIÇOS VIA DUTRA 1 LTDA;-43.46721999999999,-22.739630000000012;
AUTO POSTO CANCUN 2000 COMBUSTIVEIS LTDA;-43.05123,-22.94149000000001;
AUTO POSTO JARDIM OCEANICO LTDA;-43.01386000000002,-22.928490000000007;
QUARENTA POSTO DE SERVIÇOS LTDA;-43.09671000000001,-22.881190000000014;
AUTO POSTO DO TRABALHO VII LTDA;-43.257470000000005,-22.84949000000001;
ARARA AZUL REDE DE POSTOS LTDA.;-43.29173999999999,-22.83238000000001;
POSTO PIONEIRO DO CAPIVARI LTDA.;-43.28625000000001,-22.779860000000017;
POSTO PIONEIRO DO CAPIVARI LTDA.;-43.28630999999999,-22.77981000000001;
POSTO VIA LAGOS LTDA;-42.14083999999999,-22.838790000000017;
M. TAVARES COMÉRCIO DE COMBUSTÍVEIS E DERIVADOS LTDA;-41.328639999999986,-21.730210000000014;
POSTO DIVINA LUZ DE ANCHIETA LTDA;-43.404430000000005,-22.822700000000005;
POSTO CIDADE ITACURUCA LTDA;-43.91051,-22.930600000000005;
POSTO VITÓRIA DE MESQUITA LTDA - ME;-43.42864000000002,-22.783670000000015;
ARARA AZUL REDE DE POSTOS LTDA.;-43.39031,-22.8874;
POSTO DE GASOLINA E SERVICOS NOVA VALQUEIRE LTDA;-43.37329999999999,-22.88441000000001;
POSTO DE GASOLINA MARIA EDUARDA LTDA;-43.45905,-22.734690000000004;
POSTO DE GASOLINA CAMPEAO DA PENHA LTDA;-43.28102,-22.84044000000001;
POSTO DE GASOLINA PRIMAVERA DE CAXIAS LTDA;-43.313340000000004,-22.791029999999996;
POSTO SINAGOGA LTDA;-43.54039,-22.78278000000001;
POSTO SANTA CLARA 2000 LTDA;-43.27964000000001,-22.83271000000001;
MEGA POWER DOS LAGOS COMERCIAL LTDA.;-42.05173999999999,-22.855419999999995;
AUTO POSTO DO TRABALHO IX;-43.300070000000005,-22.842910000000007;
AUTO POSTO DO TRABALHO X LTDA;-43.27552999999999,-22.841640000000012;
OSORIO'S POSTO E SERVIÇOS LTDA;-43.01943000000001,-22.827960000000004;
AUTO POSTO VALE DAS VIDEIRAS LTDA;-43.314140000000016,-22.42365;
POSTO ARLA LTDA;-43.349309999999996,-22.73962000000001;
POSTO E ESTACIONAMENTO ERMITAGE LTDA - ME;-42.956979999999994,-22.410690000000013;
POSTO DE ABASTECIMENTO A GAS SANTA AMELIA LTDA;-43.211790000000015,-22.91577000000002;
BRUNO B. DOS SANTOS;-41.30101,-21.75082000000002;
POSTO THAYTATA LTDA;-43.47504,-22.76040000000001;
AUTO POSTO DO TRABALHO VIII LTDA;-43.201179999999994,-22.616170000000015;
AUTO POSTO REZENDE RECREIO II LTDA;-43.482919999999986,-23.017930000000014;
POSTO E SERVICO CATARINA DE DUQUE DE CAXIAS LTDA;-43.32009,-22.78521;
WEST POINT CAR POSTO DE ABASTECIMENTO LTDA;-43.55391999999999,-22.87476000000001;
POSTO NOVA BARRA LTDA.;-43.81880000000001,-22.485780000000016;
V. D. TERRA;-41.31609000000001,-21.735400000000013;
POSTO DE SERVIÇOS CHAMEGO DO PROJAC LTDA;-43.39217000000001,-22.96100000000002;
POSTO MAR AZUL RIO DAS OSTRAS LTDA.;-41.961400000000005,-22.532980000000013;
AUTO POSTO NITERÓI II LTDA.;-43.08845999999999,-22.881500000000017;
AUTO POSTO BRASIL 6210 LTDA;-43.24816000000001,-22.858410000000013;
POSTO E SERVIÇO DOIS IRMÃOS DE RESENDE LTDA.;-44.48644,-22.479330000000008;
AUTO POSTO ALVORADA DE RESENDE LTDA;-44.46904,-22.47471;
POSTO WEB MAX DE COMBUSTIVEIS LTDA;-41.309899999999985,-21.761180000000003;
RIBEIRO E PASSALINI DERIVADOS DE PETRÓLEO LTDA;-41.66483000000002,-21.14362;
NOVO ROLÉ AUTOPOSTO LTDA.;-42.03726000000001,-20.96629000000002;
CENTRO AUTOMOTIVO NIGHT TRAIN LTDA;-43.373840000000015,-22.914320000000007;
POSTO DE GASOLINA VASCO GAMA SOARES LTDA;-43.46704,-22.69783000000002;
AUTO POSTO LUAR  DE OLARIA LTDA.;-43.266970000000015,-22.848450000000017;
POSTO E GARAGEM DOM HELDER CAMARA LTDA;-43.27657,-22.884059999999998;
POSTO DE GASOLINA BOA VIAGEM DE FRIBURGO LTDA;-42.52629000000002,-22.295420000000007;
POSTO PALACIO GUANABARA LTDA;-43.18384999999999,-22.93570000000002;
AUTO POSTO DO TRABALHO XII LTDA;-43.22608,-22.88590000000001;
CENTRO AUTOMOTIVO COOPGÁS LTDA.;-43.19760000000001,-22.923480000000023;
AUTO POSTO RM 3 LTDA;-42.52897,-22.25638000000001;
TIGRAO BARRA DE SERVICOS LTDA;-43.19202000000001,-22.901470000000014;
AUTO POSTO GNV SANTA CRUZ II LTDA.;-43.29464999999999,-22.83836000000002;
POSTO DE GASOLINA YAGO E MONIQUE LTDA;-43.38004999999999,-22.73296000000001;
LM & JB AUTO POSTO LTDA;-43.30924,-22.834170000000004;
PREDITIVA DE PETROPOLIS AUTO POSTO LTDA;-43.18796999999999,-22.507920000000006;
POSTO SAO VICENTE DA BARRA LTDA;-43.81973,-22.477460000000022;
AUTO POSTO SERVIÇO PEDRO LESSA DA RIO MAGE EIRELI;-43.274350000000005,-22.670490000000004;
AUTO POSTO LADEIRA DIAS LTDA;-41.88657000000002,-21.197710000000022;
AUTO POSTO DO TRABALHO XVI LTDA;-43.30603000000001,-23.008960000000002;
CENTRO AUTOMOTIVO CENTRAL DE BRASIL LTDA ME;-43.19197000000002,-22.90150999999999;
MATTAR E MATTAR AUTO POSTO LTDA;-43.414590000000004,-22.99982000000001;
AUTO POSTO MAI BRODER DE GUADALUPE LTDA;-43.39395,-22.85293;
POSTO CIDADE BANGU LTDA;-43.46402000000001,-22.87978000000001;
BRAGAL BENFICA AUTO POSTO DE ABASTECIMENTO E GARAGE LTD;-43.237279999999984,-22.895390000000006;
TIC E TAC DE RAMOS POSTOS DE SERVIÇOS LTDA;-43.2633,-22.85224000000002;
POSTO ESTRADA VIA BARRA LTDA.;-43.55131000000001,-22.92394000000002;
AUTO POSTO FUTURO GNV DE BONSUCESSO LTDA;-43.2483,-22.86315000000002;
AUTO POSTO DE ABASTECIMENTO GRIFO 1 DE MADUREIRA LTDA.;-43.339220000000005,-22.86519000000002;
POSTO DE GASOLINA NOVA SARACURUNA LTDA;-43.25560000000001,-22.67487000000001;
PUROGAS-GNV AUTO POSTO LTDA;-43.01987,-22.818810000000006;
PUROGAS-GNV AUTO POSTO LTDA;-43.01987,-22.818810000000006;
CORDEIRO BARROSO PETRÓLEO LTDA;-41.34104000000001,-21.757969999999997;
POSTO UNIVERSIDADE BM LTDA.;-44.17054,-22.5476;
POSTO DA PENHA DE CAMPOS LTDA;-41.29054,-21.792830000000002;
VICA COMERCIO DE COMBUSTIVEIS LTDA;-41.301030000000004,-21.75078;
POSTO BOA SORTE BM LTDA.;-44.15547,-22.55632;
AUTO POSTO KALEBE EQUITATIVA LTDA;-43.262209999999996,-22.63375;
AUTO POSTO TREVI LTDA.;-43.13647,-22.405760000000022;
POSTO DE SERVICOS ALIANCA DE CAMPO GRANDE LTDA;-43.523089999999996,-22.889759999999995;
POSTO DE GASOLINA TRES AMIGOS UNIDOS I LTDA - ME.;-43.431630000000006,-22.775070000000017;
CANAL DA LAGOA EMPREENDIMENTOS LTDA;-42.02325000000001,-22.87238000000001;
AUTO POSTO 500 TINGUI LTDA;-43.57003,-22.88436;
AUTO POSTO PS GUERRA LTDA.;-43.52913000000001,-22.89226000000002;
MONTOUZA COMERCIO DE COMBUSTIVEIS LTDA;-41.32436000000001,-21.77716;
LOGUS DO BARRETO POSTO DE ABASTECIMENTO LTDA;-43.094139999999996,-22.86203000000001;
POSTO COMBUSTÍVEIS GRUSSAÃ SOL E MAR LTDA.;-41.02434,-21.627940000000002;
AUTO POSTO ARARAJUBA LTDA;-43.55422000000001,-22.868360000000017;
AUTO POSTO TOP 8 DE CAMPOS LTDA;-41.32215,-21.74493000000001;
WAFAROGA COMERCIO DE DERIVADOS DE PETROLEO LTDA ME;-41.31321,-21.74909000000001;
POSTO TREVO LITORAL LTDA;-41.80010000000001,-22.361750000000008;
POSTO DE SERVIÇOS TONICÃO LTDA;-43.12205999999999,-22.901639999999997;
NOVO HYPERION RIO POSTO DE GASOLINA LTDA.;-43.3061,-23.008950000000016;
POSTO DE GASOLINA PRACA SAENS PENA LTDA;-43.23151,-22.922350000000016;
RODRIGUES E ASCENCIANO COMERCIO DE COMBUSTIVEIS LTDA;-41.86331999999999,-22.089170000000014;
POSTO DE GASOLINA CARISMA LTDA;-43.037990000000015,-22.809330000000017;
POSTO SANTA EDWIRGES DE CAMPOS LTDA;-41.29720999999999,-21.804710000000018;
CENTRO AUTOMOTIVO GAS GORDON BRASIL LTDA;-43.247229999999995,-22.855180000000015;
POSTO DE ABASTECIMENTO GRANDE AMOR LTDA.;-43.54306,-22.862349999999992;
CATUCA POSTO E SERVIÇOS LTDA;-43.00637,-22.833670000000016;
POSTO DE GASOLINA FOGÃO DE MARECHAL LTDA.;-43.00139,-22.81677000000002;
AUTO POSTO LANHAS & LEITE LTDA;-41.74510000000001,-21.650180000000002;
POSTO PODIUM DE TERESOPOLIS LTDA;-41.74513999999999,-21.650270000000013;
POSTO MOREIRA CABRAL LTDA.;-41.76321,-22.35003;
J. L. SANTOS SOARES - POSTO DE GASOLINA;-43.19977000000002,-22.958750000000016;
PERES E PACHECO COMBUSTÍVEIS LTDA.;-43.12207,-22.901639999999997;
BIG GAS - VOLTA REDONDA COMÉRCIO E SERVIÇOS LTDA.;-44.09245,-22.51151;
AUTO POSTO DO TRABALHO XXII LTDA;-43.19902,-22.924950000000017;
POSTO DE COMBUSTÍVEIS MAIOR DA POSSE LTDA.;-43.462199999999996,-22.72950000000002;
AUTO POSTO DO TRABALHO XXI LTDA;-43.23079,-22.928360000000016;
AUTO POSTO DO TRABALHO XXIV COM. DE COMBUSTIVEIS LTDA;-43.283310000000014,-22.97194000000002;
POSTO DE COMBUSTÍVEL CAPRI LAGOS LTDA.;-42.32246000000001,-22.867870000000003;
POSTO DE ABASTECIMENTO SOL DA LAGOA LTDA.;-43.20776000000001,-22.97337;
POSTO DE ABASTECIMENTO UBÁ GERAIS LTDA.;-43.481020000000015,-22.8562;
POSTO LUCENA JUNIOR DE COMBUSTÍVEIS LTDA.;-41.29702,-21.791820000000016;
CENTRO AUTOMOTIVO GANESH LTDA.;-43.324590000000015,-22.828739999999996;
AUTO POSTO E SERVIÇOS JURUMENHA LTDA;-43.05990999999999,-22.832919999999998;
POSTO BOM DIA LTDA;-43.28914000000002,-22.86557;
POSTO E GARAGEM ESTRELA DO MATOSO LTDA;-43.21267999999999,-22.915280000000013;
AUTO POSTO CIDADE NOVA LTDA;-41.89784999999999,-21.19872000000001;
POSTO BOA VISTA BM LTDA;-44.18309,-22.537780000000012;
AUTO POSTO O. L. LTDA;-43.08941,-22.88108000000001;
OPERADORA DE POSTOS E SERVICOS LTDA.;-43.43894,-23.00659000000001;
OPERADORA DE POSTOS E SERVICOS LTDA.;-43.48784999999999,-23.020790000000012;
OPERADORA DE POSTOS E SERVICOS LTDA.;-43.31741,-23.00598;
AUTO POSTO QUATRO PRIMOS LTDA. ME;-43.1116,-22.88552000000001;
PORTAL DA PRAIA AUTO POSTO LTDA;-43.316599999999994,-23.007580000000004;
AUTO POSTO CAMORIM LTDA;-43.413009999999986,-22.967010000000005;
AUTO POSTO CORDOVIL LTDA.;-43.29595,-22.824829999999995;
TERRA DE SANTA CRUZ POSTO DE SERVIÇOS LTDA;-43.68215000000001,-22.92009000000001;
POSTO DE GASOLINA SAO JOAO DA BARRA DA TIJUCA LTDA;-43.34184,-23.000650000000007;
GAP POSTO DE SERVIÇOS LTDA;-43.336659999999995,-22.939550000000015;
POSTO DE GASOLINA SENSO COMUM LTDA;-43.21942,-22.91887;
POSTO DE ABASTECIMENTO SETE DE ABRIL LTDA;-43.63576000000001,-22.93151;
GARAGEM FRANCISCO DE SA LTDA;-43.215630000000004,-22.909779999999994;
OPERADORA DE POSTOS E SERVICOS LTDA.;-43.37549,-22.81305000000002;
POSTO BRASIL DE SUMIDOURO LTDA;-42.67425,-22.04800000000001;
POSTO E GARAGEM VILAO LTDA;-43.33175999999999,-22.885090000000016;
AUTO POSTO LEÃO DE IGUAÇU LTDA;-43.52124000000001,-22.771289999999993;
TANQUE CHEIO POSTO DE SERVICOS LTDA;-43.38290000000002,-22.787110000000016;
POSTO DE GASOLINA KOHARA LTDA;-43.323570000000004,-23.003210000000017;
VALONGO AUTO POSTO LTDA;-43.324839999999995,-22.85567000000002;
POSTO MIRANTE DA TAQUARA LTDA;-43.371510000000015,-22.935159999999993;
POSTO DE GASOLINA E GARAGEM ECHEVERRIA LTDA.;-43.23989,-22.895539999999997;
POSTO DE ABASTECIMENTO DE AUTOMOVEIS BERQUO LTDA;-43.31195999999999,-22.870499999999996;
AUTO POSTO ALIJO LTDA;-43.30536,-22.835630000000016;
POSTO DE GAS WAL GRANDE RIO LTDA;-43.49656,-22.739630000000012;
AUTO POSTO HENRY E FILHOS LTDA;-43.10535999999999,-22.880960000000005;
POSTO H B LTDA;-42.63602000000001,-22.713830000000016;
AUTO POSTO JARI LTDA;-43.29677000000001,-22.901870000000017;
IANCA POSTO DE ABSTECIMENTO LTDA;-43.35479000000001,-22.95328;
HIPICA CENTRO AUTOMOTIVO LTDA;-43.21603000000002,-22.96252;
POSTO DE GASOLINA SANTA DALILA LTDA;-43.117919999999984,-22.662860000000016;
IPI SERVE BEM POSTO E SERVICOS LTDA;-43.219969999999996,-22.908440000000013;
IPI II SERVE BEM POSTO E SERVIÇO LTDA;-43.22097,-22.90860000000001;
GOLF DERIVADOS DE PETROLEO LTDA;-43.286109999999994,-22.688730000000017;
POSTO PIT STOP DE SAO PEDRO LTDA;-42.10185000000001,-22.836309999999994;
POSTO MANDALA DA BARRA LTDA;-43.375330000000005,-23.000469999999996;
E.J. MELLO COMBUSTIVEIS E LUBRIFICANTES LTDA;-43.55447,-22.875460000000015;
CENTRO AUTOMOTIVO EXCEDE II LTDA;-43.19736999999999,-22.98663;
CENTRO AUTOMOTIVO SERVIBEM LTDA;-43.19259,-22.950710000000004;
COMERCIAL DE PETROLEO SG LTDA;-43.03755999999999,-22.809719999999995;
TURI AUTO POSTO LTDA;-43.18102000000001,-22.505600000000005;
NEVES MACUCO AUTO POSTO LTDA;-42.254859999999994,-21.98736;
AUTO POSTO SOL DO RECREIO LTDA;-43.451480000000004,-23.01026999999999;
POSTO DE GASOLINA CATARINAO LTDA - EPP;-42.99993999999999,-22.807629999999996;
COMERCIO DE COMBUSTIVEIS MERGULHAO;-43.10425999999999,-22.90969000000001;
AUGUSTO C M R DE AZEVEDO POSTO DE GASOLINA;-43.357470000000006,-23.000560000000007;
CENTRO AUTOMOTIVO XIMENES LTDA;-43.17176999999998,-22.910020000000003;
POSTO MARIA CUMPRIDA LTDA;-43.17357000000001,-22.4206;
J C 4708 POSTO DE SERVICOS LTDA - ME;-43.63576000000001,-22.93151;
CENTRO AUTOMOTIVO PAMELLA LTDA;-43.28738,-22.892420000000016;
POSTO PRINCESINHA DO ATLANTICO LTDA;-41.775890000000004,-22.381280000000004;
POSTO UBAJARA LTDA;-43.032449999999976,-22.79373000000001;
CENTRO AUTOMOTIVO  ESQUILOS LTDA;-43.33574,-22.965830000000008;
AUTO POSTO CREMONEZE LTDA;-43.54068000000001,-22.862390000000012;
POSTO RAUL VEIGA LTDA;-42.99877999999998,-22.822430000000008;
AUTO POSTO VOLUNTARIOS LTDA;-43.186910000000005,-22.952440000000013;
CASTILHO E FILHO LTDA;-41.32271999999999,-21.755720000000007;
POSTO 17 DE JULHO LTDA;-44.09225,-22.51221;
AUTO POSTO PARADA 65 LTDA;-43.03078999999999,-22.817310000000003;
POSTO RIO GRANDINA LTDA;-42.512350000000005,-22.197470000000003;
POSTO DE GASOLINA HOSANA DE MERITI LTDA;-43.38063,-22.790379999999995;
CONCHA DO ALTO POSTO DE SERVIÇOS LTDA;-43.35136000000001,-22.889249999999997;
POSTO DE ABASTECIMENTO SAVERIO LTDA ME;-42.61318,-21.9263;
GALLANT AUTO CENTER LTDA;-43.303540000000005,-22.79253;
POSTO MARINA PIRATAS MALL LTDA;-44.29856,-23.00337;
POSTO MERITI I LTDA;-43.361780000000024,-22.76799000000001;
BARRA III POSTO E SERVIÇOS LTDA;-43.297830000000005,-23.010450000000006;
GOLDEN GREEN AUTO POSTO LTDA;-43.35036,-23.009860000000014;
ALFA MARINE DERIVADOS DE PETROLEO LTDA;-43.12166000000001,-22.88041000000001;
POSTO DE GASOLINA FHC LTDA;-43.3478,-22.92665000000001;
REAL J. H. POSTO DE GASOLINA LTDA;-43.36708000000001,-22.927040000000012;
POSTO JK 2000 LTDA;-44.09888000000001,-22.500660000000018;
AUTO POSTO RONE LTDA;-43.30225,-22.86671000000001;
AUTO SERVICO BOIOBI DE BANGU LTDA;-43.47932999999999,-22.88082;
AUTO POSTO MAP BARRA LTDA;-43.32688,-22.999340000000007;
SECRET GARDEM AUTO POSTO LTDA;-43.410640000000015,-22.81670000000001;
POSTO SAUDADE BM LTDA;-44.1863,-22.531690000000015;
CENTRO AUTOMOTIVO TAXIGAS LTDA;-43.22097,-22.90860000000001;
AUTO POSTO FLOR DO CARAPIÁ LTDA.;-43.58256000000001,-22.961350000000003;
POSTO DE ABAST.  SERVIÇOS E COM. LINHA AMARELA LTDA.;-43.36602,-22.98087;
AUTO POSTO LEAO DE CASCADURA LTDA;-43.33214000000002,-22.88517000000001;
COMERCIO DE COMBUSTIVEIS ERA NOVA DE CAMPOS LTDA;-41.32226999999999,-21.727460000000004;
POSTO DE GASOLINA NOVA JERUSALEM LTDA;-43.247429999999994,-22.861110000000018;
POSTO DE GASOLINA VIA LIGHT D' IGUACU LTDA;-43.44358999999999,-22.758000000000013;
AUTO POSTO LINHA AMARELA DA BARRA LTDA;-43.36531,-22.98499000000002;
GELAL- COMERCIO DE COMBUSTIVEIS LTDA;-43.29595,-22.824829999999995;
FRENTANA POSTO DE SERVICO LTDA;-43.41360999999999,-22.96796000000001;
AUTO CENTER GALINA LTDA;-43.18991000000001,-22.955680000000015;
AUTO CENTER DENDE DA ILHA LTDA.;-43.67471999999999,-22.929700000000018;
POSTO DE GASOLINA PARQUE DAS ROSAS LTDA;-43.35121,-23.000730000000015;
POSTO DE GASOLINA RECREIOMAR LTDA;-43.45028000000001,-23.01068000000001;
ABASTECIMENTO DE COMBUSTIVEIS RIO DO A LTDA;-43.562659999999994,-22.895780000000006;
POSTO CAIC DE CABO FRIO LTDA;-42.019439999999996,-22.875210000000006;
J D WHITE COMBUSTIVEIS LTDA;-43.235659999999996,-22.920990000000007;
J.P.X COMBUSTIVEIS E CONVENIENCIAS - BARRA LTDA;-43.37528000000001,-23.000949999999996;
POSTO DE GASOLINA BRUNA LTDA;-43.41463000000001,-22.871140000000004;
CENTRO AUTOMOTIVO SECULAR LTDA.;-43.314389999999996,-22.853790000000014;
COMERCIO DE COMBUSTIVEIS JAMBEIRO LTDA;-43.3059,-22.805019999999995;
MARGALHO POSTO E SERVIÇOS LTDA;-43.22711,-22.885340000000014;
AUTO POSTO IMPERADOR III LTDA;-43.36838999999999,-22.80698000000001;
VWV AUTO SERVIÇOS LTDA;-43.47338,-22.88588000000001;
AUTO POSTO DO TRABALHO S/A.;-43.413009999999986,-22.967010000000005;
AUTO POSTO DO TRABALHO S/A.;-43.39578,-22.770870000000013;
AUTO POSTO DO TRABALHO S/A.;-43.30872999999999,-22.834660000000007;
AUTO POSTO DO TRABALHO S/A.;-43.356320000000004,-22.879630000000013;
AUTO POSTO DO TRABALHO S/A.;-43.32894999999999,-22.716320000000014;
POSTO DE SERVIÇOS WEST SHOPPING LTDA;-43.54836000000002,-22.882970000000014;
SENDAS DISTRIBUIDORA S/A;-42.03099999999999,-22.888530000000003;
AUTO POSTO DO TRABALHO S/A.;-43.35464,-22.955110000000015;
AUTO POSTO DO TRABALHO S/A.;-43.27581000000001,-22.833610000000018;
AUTO POSTO BALTHAZAR LTDA;-43.43990000000001,-23.009000000000007;
AUTO POSTO DONA ISABEL LTDA;-43.16888000000001,-22.516240000000003;
CENTRO AUTOMOTIVO LUCIANO LTDA;-43.28738,-22.892420000000016;
POSTO DE GASOLINA BARAO DE ITAIPAVA LTDA;-43.13888000000001,-22.41195000000002;
POSTO DE GASOLINA MARANATHA LTDA;-43.06053,-22.835290000000008;
POSTO DE GASOLINA BOA PARADA LTDA;-43.210289999999986,-22.916810000000005;
AUTO POSTO DE SERVIÇO M & L LTDA;-43.58590000000001,-22.16614;
AUTO POSTO OITO IRMAOS LTDA;-42.61318,-21.9263;
POSTO TATATA LTDA;-43.456540000000004,-22.746060000000003;
POSTO DE SERVICOS DENGOSO LTDA;-43.5664,-22.908920000000002;
IPI CENTER LTDA;-43.18102000000001,-22.505600000000005;
AUTO POSTO EJM LTDA;-43.13333999999999,-22.38269000000002;
CENTRO AUTOMOTIVO LUANA RIO LTDA;-43.285630000000005,-22.8873;
CENTRO DE CONVENIENCIAS MILLENNIUM LTDA;-43.34184,-23.000650000000007;
CENTRO DE CONVENIENCIAS MILLENNIUM LTDA;-43.36531,-22.98499000000002;
POSTO DE ABASTECIMENTO IMPERIAL 2000 LTDA;-43.217850000000006,-22.90754000000002;
POSTO ESTACAO DE TERESOPOLIS SERVICOS LTDA;-42.96969000000001,-22.415220000000012;
POSTO LIGHT HIGHWAY LTDA;-43.43977999999999,-22.76003000000001;
CENTRO DE CONVENIENCIAS MILLENNIUM LTDA;-43.219969999999996,-22.908440000000013;
AUTO POSTO CONFIANCA DE NOVA IGUACU EIRELI;-43.45536,-22.754890000000017;
CENTRO DE CONVENIENCIAS MILLENNIUM LTDA;-43.230030000000006,-22.916060000000005;
CENTRO DE CONVENIENCIAS MILLENNIUM LTDA;-43.56116999999998,-22.893730000000016;
AUTO POSTO DO TRABALHO II LTDA.;-43.356320000000004,-22.879630000000013;
SERVICOS DE ABASTECIMENTO TOP GUIDON LTDA - EPP;-43.473850000000006,-23.016709999999996;
POSTO JACUI LTDA;-43.35031000000001,-22.860080000000014;
POSTO DE ABASTECIMENTO A GAS 2000 DE CAXIAS LTDA;-43.310430000000004,-22.737409999999997;
AUTO POSTO MAP RECREIO LTDA;-43.41412999999999,-22.99957;
POSTO DE COMBUSTIVEIS BICUIBA BRANCA LTDA;-42.43863999999999,-22.88295000000001;
POSTO ABREU LTDA;-43.07359000000001,-22.81384000000001;
POSTO DE GASOLINA PORTAL DA SERRA LTDA.;-43.33287000000001,-22.930680000000017;
COMERCIAL MADALENENSE LTDA EPP;-42.010979999999996,-21.96037000000001;
POSTO ZAMBELI LTDA;-43.81562000000001,-22.45710000000001;
AUTO POSTO CAPELLO DE PAULA LTDA;-42.52201,-22.299300000000006;
POSTO UNIAO PADUA LTDA;-42.173529999999985,-21.547860000000007;
POSTO DE SERVIÇOS BIG AÇO LTDA;-44.08612000000001,-22.51138000000001;
POSTO VEICOM LTDA;-43.17916999999999,-22.95509000000001;
AUTO POSTO EUROGAZ DE CAXIAS LTDA;-43.308299999999996,-22.79350000000002;
POSTO CAROBELLA LTDA;-41.35679999999999,-21.74344000000001;
MILENA POSTO E GARAGEM LTDA;-43.25334,-22.859340000000003;
AUTO POSTO ALEM MAR 2000 LTDA;-43.077619999999996,-22.82283;
POSTO MEGA VERAO LTDA;-43.31574,-23.005880000000012;
AUTO POSTO BARILOCHE DE CAXIAS LTDA.;-43.30538999999999,-22.75146000000002;
COSENDEY AUTO POSTO LTDA;-43.67782000000001,-22.89351;
W M DO LOCAL COMERCIO E SERVICOS LTDA;-43.30284000000002,-22.88627000000001;
ALPS AUTO POSTO LTDA;-43.19997999999999,-22.532250000000012;
AUTO POSTO DO TRABALHO VI LTDA;-43.30872999999999,-22.834660000000007;
POSTO NEBRASCA DA BARRA LTDA;-43.351099999999995,-23.009580000000014;
AUTO POSTO THORCK LTDA;-43.21043999999999,-22.532790000000013;
POSTO KING OF MEIER LTDA;-43.28224999999999,-22.898090000000018;
COMERCIO VAREJISTA DE COMBUSTIVEIS E LUBRIFICANTES DOMINGÃO LTDA;-43.24353,-22.935380000000013;
STARGAS AUTO POSTO LTDA;-43.330940000000005,-22.83624000000001;
POSTO DE ABASTECIMENTO C. A - 1 MERCEDES LTDA;-43.57576000000002,-22.907710000000016;
CENTRO AUTOMOTIVO BENTO RIBEIRO 1340 LTDA.;-43.35645000000001,-22.865200000000016;
POSTO RUA TEREZA LTDA;-43.171159999999986,-22.52368000000001;
POSTO CASTELINHO JMLGB LTDA;-43.19736999999999,-22.98663;
